rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
1,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,Stout - American Imperial,12.0,898,4.83,Stout,American Imperial
2,Marshmallow Handjee,3 Floyds Brewing Co.,Stout - Russian Imperial,15.0,1785,4.73,Stout,Russian Imperial
3,Abraxas - Barrel-Aged,Perennial Artisan Ales,Stout - American Imperial,11.0,1644,4.73,Stout,American Imperial
4,Vanilla Bean Assassin,Toppling Goliath Brewing Company,Stout - American Imperial,12.8,109,4.8,Stout,American Imperial
5,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,Stout - American Imperial,11.0,1659,4.72,Stout,American Imperial
6,Heady Topper,The Alchemist,IPA - Imperial,8.0,15103,4.71,IPA,Imperial
7,SR-71,Toppling Goliath Brewing Company,Stout - American Imperial,14.0,548,4.72,Stout,American Imperial
8,Blessed,Anchorage Brewing Company,Stout - American Imperial,14.0,221,4.74,Stout,American Imperial
9,King JJJuliusss,Tree House Brewing Company,IPA - New England,8.4,831,4.71,IPA,New England
10,Mornin' Delight,Toppling Goliath Brewing Company,Stout - American Imperial,12.8,1732,4.7,Stout,American Imperial
11,King Julius,Tree House Brewing Company,IPA - New England,8.3,1515,4.7,IPA,New England
12,Zenne Y Frontera,Brouwerij 3 Fonteinen,Lambic - Traditional,7.0,379,4.71,Lambic,Traditional
13,Pliny The Younger,Russian River Brewing Company,IPA - Imperial,10.25,3503,4.69,IPA,Imperial
14,Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,Stout - American Imperial,11.0,354,4.71,Stout,American Imperial
15,Very Hazy,Tree House Brewing Company,IPA - New England,8.6,1248,4.69,IPA,New England
16,Beer:Barrel:Time (2021),Side Project Brewing,Stout - American Imperial,15.0,62,4.81,Stout,American Imperial
17,A Deal With The Devil - Triple Oak-Aged,Anchorage Brewing Company,Barleywine - American,17.0,93,4.76,Barleywine,American
18,Fundamental Observation,Bottle Logic Brewing,Stout - American Imperial,14.3,1521,4.68,Stout,American Imperial
19,Hunahpu's Imperial Stout - Laird's Apple Brandy Barrel,Cigar City Brewing,Stout - American Imperial,11.5,390,4.69,Stout,American Imperial
20,Very GGGreennn,Tree House Brewing Company,IPA - New England,8.3,383,4.69,IPA,New England
21,A Deal With The Devil - Double Oak-Aged,Anchorage Brewing Company,Barleywine - American,17.0,192,4.7,Barleywine,American
22,Very Green,Tree House Brewing Company,IPA - New England,8.6,1608,4.66,IPA,New England
23,V.S.O.J.,Revolution Brewing,Barleywine - English,14.0,301,4.68,Barleywine,English
24,Juice Machine,Tree House Brewing Company,IPA - New England,8.2,1262,4.66,IPA,New England
25,Anabasis,Side Project Brewing,Barleywine - American,14.0,253,4.68,Barleywine,American
26,Julius,Tree House Brewing Company,IPA - New England,6.8,4991,4.65,IPA,New England
27,It Was All A Dream,J. Wakefield Brewing,Stout - American Imperial,17.0,183,4.69,Stout,American Imperial
28,Fou' Foune,Brasserie Cantillon,Lambic - Fruit,5.5,3211,4.65,Lambic,Fruit
