index,beer_name,beer_abv,beer_ibu,beer_style
0,Hocus Pocus,4.5,0,Light American Wheat Ale or Lager
1,BiÃ¨re Darbyste,0.0,0,Light American Wheat Ale or Lager
2,Sunshine Wheat,4.8,0,Light American Wheat Ale or Lager
3,Easy Street Wheat,4.6,0,Light American Wheat Ale or Lager
4,Lemon Wheat,0.0,0,Light American Wheat Ale or Lager
5,Blueberry Wheat,0.0,0,Light American Wheat Ale or Lager
6,Apple Ale,0.0,0,Light American Wheat Ale or Lager
7,Framboise,0.0,0,Light American Wheat Ale or Lager
8,Vanilla Berry Orange,0.0,0,Light American Wheat Ale or Lager
9,Olde Orchard Ale,0.0,0.0,Light American Wheat Ale or Lager
10,Main Street Raz,0.0,0.0,Light American Wheat Ale or Lager
11,Blackberry,0.0,0.0,Light American Wheat Ale or Lager
12,Peaches and Cream,0.0,0.0,Light American Wheat Ale or Lager
13,Tripppleberry Wheat,0.0,0.0,Light American Wheat Ale or Lager
14,Double ZZ Raspberry Wheat,0.0,0.0,Light American Wheat Ale or Lager
15,Frambosia,0.0,0.0,Light American Wheat Ale or Lager
16,Grozet Gooseberry and Wheat Ale,5.0,0.0,Light American Wheat Ale or Lager
17,Sweaty Betty Blonde,5.9,0.0,Light American Wheat Ale or Lager
18,Kriek,0.0,0.0,Light American Wheat Ale or Lager
19,Apple Ale,0.0,0.0,Light American Wheat Ale or Lager
20,Blueberry Blonde,0.0,0.0,Light American Wheat Ale or Lager
21,Rhubarb,0.0,0.0,Light American Wheat Ale or Lager
22,Apricot,0.0,0.0,Light American Wheat Ale or Lager
23,Apricot Wheat,5.1,0.0,Light American Wheat Ale or Lager
24,Weizenberry,0.0,0.0,Light American Wheat Ale or Lager
25,Lilikoi Wheat Ale,0.0,0.0,Light American Wheat Ale or Lager
26,Hula Berry,0.0,0.0,Light American Wheat Ale or Lager
27,Raspberry Weizen,0.0,0.0,Light American Wheat Ale or Lager
28,Dreamweaver,4.8,0.0,Light American Wheat Ale or Lager
29,Trout Slayer,4.7,0.0,Light American Wheat Ale or Lager
30,Water Gap Wheat,4.5,0.0,Light American Wheat Ale or Lager
31,Wildflower Honey Wheat,0.0,0.0,Light American Wheat Ale or Lager
32,Apricot Wheat,4.7,0.0,Light American Wheat Ale or Lager
33,Lancaster Strawberry Wheat,4.7,0.0,Light American Wheat Ale or Lager
34,Samuel Adams Summer Ale,5.2,0.0,Light American Wheat Ale or Lager
35,American Wheat,4.7,0.0,Light American Wheat Ale or Lager
36,Raspberry Wheat,4.5,0.0,Light American Wheat Ale or Lager
37,Climax Wheat Ale,5.0,0.0,Light American Wheat Ale or Lager
38,Michelob Hop Hound Amber Wheat,5.3,0.0,Light American Wheat Ale or Lager
39,Stinger Wild Honey Wheat,6.0,0.0,Light American Wheat Ale or Lager
40,Valley Brew Pale Wheat,4.0,0.0,Light American Wheat Ale or Lager
41,Dundee Wheat Beer,4.2,0.0,Light American Wheat Ale or Lager
42,White Magick of the Sun,6.75,0.0,Light American Wheat Ale or Lager
43,Celebration Wheat,0.0,0.0,Light American Wheat Ale or Lager
44,Capital Island Wheat,0.0,0.0,Light American Wheat Ale or Lager
45,The Livery Dunkel Weizen,5.25,0.0,Light American Wheat Ale or Lager
46,Round Barn Summer Wheat,0.0,0.0,Light American Wheat Ale or Lager
47,Ãœber Sun Imperial Summer Wheat Ale,8.0,0.0,Light American Wheat Ale or Lager
48,422 Pale Wheat Ale,5.0,0.0,Light American Wheat Ale or Lager
49,Sea Dog Raspberry Wheat Ale,4.5,0.0,Light American Wheat Ale or Lager
50,Baltika #8,5.0,0.0,Light American Wheat Ale or Lager
51,Double White,6.6,0.0,Light American Wheat Ale or Lager
52,Santa Fe Wheat,5.25,0.0,Light American Wheat Ale or Lager
53,Goofy Foot Summer Wheat,4.8,0.0,Light American Wheat Ale or Lager
54,SunRay Wheat Beer,4.7,0.0,Light American Wheat Ale or Lager
55,Willow Wheat,0.0,0.0,Light American Wheat Ale or Lager
56,Cattail Peak,4.7,0.0,Light American Wheat Ale or Lager
57,Exit 11 - Hoppy American Wheat,6.2,0.0,Light American Wheat Ale or Lager
58,St. Patrick's Gold,4.8,0.0,Light American Wheat Ale or Lager
59,Winter Warmer,5.2,0,Old Ale
60,Winter Ale,5.9,0,Old Ale
61,Winter Ale,6.3,0,Old Ale
62,Harvest Ale 2002,11.5,0,Old Ale
63,Triple Exultation Old Ale,9.7,0,Old Ale
64,Old Stock Ale 2007,11.7,0,Old Ale
65,Biere de Mars,7.0,0,Old Ale
66,Harvest Ale 2006,11.6,0,Old Ale
67,Olde Expensive Ale,0.0,0,Old Ale
68,Special London Ale,6.4,0,Old Ale
69,Hibernation Ale,8.1,0,Old Ale
70,Bah Humbug,6.0,0,Old Ale
71,Harvest Ale 2005,11.5,0,Old Ale
72,Manchester Star Ale,7.3,0,Old Ale
73,Snow Cap,7.0,0,Old Ale
74,Old Woody 2005,10.0,0,Old Ale
75,Adam,10.0,0,Old Ale
76,NoÃ«l,0.0,0,Old Ale
77,Old Stock Ale 2004,11.4,0,Old Ale
78,Anniversary Ale,9.0,0,Old Ale
79,Jubilee Ale,0.0,0,Old Ale
80,Hahn Special Vintage 2000,8.0,0,Old Ale
81,Benchmark Old Ale,9.9,0,Old Ale
82,Old 95,7.0,0,Old Ale
83,Old English Ale,0.0,0,Old Ale
84,BÃªte des Vosges,0.0,0,Old Ale
85,Adler BrÃ¤u Winter Ale,0.0,0,Old Ale
86,Old Stock Ale 2002,11.4,0,Old Ale
87,Bill Old Ale,0.0,0,Old Ale
88,Harvest Ale 2000,11.5,0,Old Ale
89,Old Stock Ale 2001,11.4,0,Old Ale
90,Prize Old Ale,9.0,0,Old Ale
91,Vintage Ale 1999,8.5,0,Old Ale
92,Deep Powder Winter Ale,0.0,0,Old Ale
93,Harvest Ale 2001,11.5,0,Old Ale
94,Jubel 2000,0.0,0,Old Ale
95,New Peculier,0.0,0,Old Ale
96,Norfolk Nog Old Dark Ale,99.99,0,Old Ale
97,Old Bastard,0.0,0,Old Ale
98,Winter Delight,0.0,0,Old Ale
99,Strong Brown Ale,0.0,0.0,Old Ale
100,Wassail Winter Ale,0.0,0.0,Old Ale
101,Frolic Shipwreck 1850 Ale,0.0,0.0,Old Ale
102,Old Jack,0.0,0.0,Old Ale
103,Snow Cap Ale,0.0,0.0,Old Ale
104,Snow Cap,6.9,0.0,Old Ale
105,Special Old Ale,0.0,0.0,Old Ale
106,Falcon Lagrad Gammelbrygd,5.6,0.0,Old Ale
107,K-9 Cruiser Winter Ale,6.4,0.0,Old Ale
108,Powder Hound Winter Ale,0.0,0.0,Old Ale
109,Lancaster Winter Warmer,8.9,0.0,Old Ale
110,Old Viscosity,10.5,0.0,Old Ale
111,Ipswich Winter,6.2,0.0,Old Ale
112,Arthur's English Old Ale,7.2,0.0,Old Ale
113,Alaskan Amber,5.3,0.0,Old Ale
114,Jasparilla,9.0,0.0,Old Ale
115,Big Dick's Olde Ale,8.2,0.0,Old Ale
116,Vintage Ale 2008,8.5,0.0,Old Ale
117,Oatmeal Stout,5.0,0,American-Style Stout
118,Chocolate Stout,0.0,0,American-Style Stout
119,Imperial Stout,7.0,0,American-Style Stout
120,Oatmeal Stout,0.0,0,American-Style Stout
121,Twelve Days,5.5,0,American-Style Stout
122,God Jul - Winter Ale,8.5,0,American-Style Stout
123,Lump of Coal Dark Holiday Stout,8.0,0,American-Style Stout
124,Trumpeter,0.0,0,American-Style Stout
125,Broad Axe Stout,5.0,0,American-Style Stout
126,Podge Belgian Imperial Stout,10.5,0,American-Style Stout
127,Mephistopheles Stout,16.03,0,American-Style Stout
128,Fallen Angel Sweet Stout,0.0,0,American-Style Stout
129,Oatmeal Stout,0.0,0,American-Style Stout
130,Paddle Out Stout,5.2,0,American-Style Stout
131,Oatmeal Stout,6.0,0,American-Style Stout
132,Irish Dry Stout,4.8,0,American-Style Stout
133,Stout,0.0,0,American-Style Stout
134,XX Black Angus Stout,0.0,0,American-Style Stout
135,Blarney Stone Stout,0.0,0,American-Style Stout
136,Boulevard Dry Stout,4.9,0,American-Style Stout
137,Imperial Stout,7.1,0,American-Style Stout
138,Oatmeal Stout,5.2,0,American-Style Stout
139,Cerveza Negra,6.5,0,American-Style Stout
140,Stout,5.0,0,American-Style Stout
141,Steelhead Stout,0.0,0,American-Style Stout
142,Dry Stout,0.0,0,American-Style Stout
143,Mad Scow Stout,0.0,0,American-Style Stout
144,Oatmeal Stout,6.5,0,American-Style Stout
145,1916 Irish Stout,3.5,0,American-Style Stout
146,Black Mulligan Dublin Stout,0.0,0,American-Style Stout
147,Old Rip Oatmeal Stout,0.0,0,American-Style Stout
148,Oatmeal Stout,0.0,0,American-Style Stout
149,Imperial Stout,6.2,0,American-Style Stout
150,Irish Stout,0.0,0,American-Style Stout
151,Terminator Stout,6.45,0,American-Style Stout
152,Steamer Glide Stout,4.8,0,American-Style Stout
153,Skibbereen Stout,5.3,0,American-Style Stout
154,Irish Stout,0.0,0,American-Style Stout
155,Poseidon Imperial Stout,0.0,0,American-Style Stout
156,No Doubt Stout,5.75,0,American-Style Stout
157,Fauntleroy Stout,0.0,0,American-Style Stout
158,Cream Stout,6.5,0,American-Style Stout
159,Super Natural Oatmeal Stout,8.0,0,American-Style Stout
160,Russian Imperial Stout,0.0,0,American-Style Stout
161,Entire Stout,4.5,0,American-Style Stout
162,Stout,0.0,0,American-Style Stout
163,Oatmeal Cream Stout,0.0,0,American-Style Stout
164,Cream Stout,0.0,0,American-Style Stout
165,Porter Czarny Boss / Black BOSS Porter,9.6,0,American-Style Stout
166,Stout,0.0,0,American-Style Stout
167,Blackstone Stout,5.9,0,American-Style Stout
168,Oatmeal Stout,0.0,0,American-Style Stout
169,Irish Stout,0.0,0,American-Style Stout
170,Black Lab Stout,5.7,0,American-Style Stout
171,Russian Imperial Stout,9.5,0,American-Style Stout
172,Stout,0.0,0,American-Style Stout
173,"Stout \To Be Named Later\""""",0.0,0,American-Style Stout
174,Big Boat Oatmeal Stout,6.6,0,American-Style Stout
175,Imperial Stout,8.2,0,American-Style Stout
176,Black Lab Stout,0.0,0,American-Style Stout
